ID,timePeriod,CALMONTH,utilization,bookedHours,availableHours,freeHours,costCenterID
e4beae01-a0ef-41fa-9037-e4da36a12741,202101,202101,0,0,104,104,DE02
eb1b4575-5f0d-45f9-befa-a3cq43def0ea,202101,202101,0,0,208,208,US02
7a4da86a-94cd-4969-a297-cf066038d6f8,202101,202101,46,95,208,113,DE01
a9e19a53-e9d5-4820-8665-c978b575f646,202101,202101,0,0,208,208,DE02
f09e2fa7-bd0e-4064-acd8-3c9f42baf0e7,202101,202101,0,0,208,208,IN01
d660dbb9-7e5a-4241-ba72-30d18ce8edd2,202101,202101,0,0,208,208,IN02
e5e3d7b8-1891-4d3f-80de-856b80217c88,202101,202101,0,0,208,208,US01
000900bc-0dfa-b992-a4af-b4ea5bbbcf69,202101,202101,0,0,208,208,US02
9e2550e9-ab47-4807-b39b-0658917a1645,202101,202101,77,160,208,48,DE01
b178837c-545d-4b65-9462-5ffw402464f0,202101,202101,0,0,208,208,DE02
001a3ed7-527c-8eb3-f00a-d44e98125649,202101,202101,0,0,208,208,IN01
02ffde7c-3b48-4745-8e54-107d16a28261,202101,202101,0,0,208,208,IN02
c8fa5539-337c-4565-a109-7a9e187c3e0b,202101,202101,0,0,208,208,US01
00f103d3-05c3-4fdb-9999-9d400181c533,202101,202101,0,0,208,208,US02
002a6d7b-0612-8440-78a7-fcae090863a7,202101,202101,0,0,208,208,DE01
f3f0bab0-d1fd-47df-a2c9-90782h8954d2,202101,202101,0,0,208,208,DE02
d00ffad1-56fd-4cbd-9f3a-2b93faca38a8,202101,202101,0,0,208,208,IN01
00eb655f-c131-ee44-9192-08e7c9072795,202101,202101,0,0,208,208,IN02
00b0392c-9184-da6d-8cde-c23c27d14961,202101,202101,0,0,208,208,US01
009d2aae-2682-c085-c411-0721e1dfd517,202101,202101,0,0,208,208,US02
009363ae-7b87-158a-d4ae-5b26cv3889c8,202101,202101,0,0,208,208,DE01
00554d1c-a5bb-9ffb-6e43-6f5db6d5d334,202101,202101,0,0,208,208,DE02
000bc69a-872e-7b96-ff9c-fadd9ad4b6a4,202101,202101,0,0,208,208,IN01
00953803-423e-fb89-37c0-9817dmb3ea85,202101,202101,0,0,208,208,IN02
002d4d55-bc7d-a89a-b8d8-4c02adb436d8,202101,202101,0,0,208,208,US01
0066b3aa-73f7-b607-1d37-4dbc02d12cd1,202101,202101,0,0,208,208,US02
