ID,timePeriod,utilization,bookedHours,availableHours,freeHours,costCenterID
e4beae01-a0ef-41fa-9037-e4da36a12741,01-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,02-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,03-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,04-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,05-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,06-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,07-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,08-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,09-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,10-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,11-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,12-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,13-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,14-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,15-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,16-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,17-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,18-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,19-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,20-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,21-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,22-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,23-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,24-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,25-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,26-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,27-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,28-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,29-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,30-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,31-01-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,01-02-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,02-02-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,03-02-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,04-02-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,05-02-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,06-02-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,07-02-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,08-02-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,09-02-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,10-02-2021,0,0,4,4,DE02
e4beae01-a0ef-41fa-9037-e4da36a12741,11-02-2021,0,0,4,4,DE02
