ID,timePeriod,utilization,validFrom,bookedHours,availableHours,freeHours,costCenterID
e4beae01-a0ef-41fa-9037-e4da36a12741,202101,0,01-01-2017,0,28,28,DE02
eb1b4575-5f0d-45f9-befa-a3cq43def0ea,202101,0,01-01-2017,0,28,28,US02
7a4da86a-94cd-4969-a297-cf066038d6f8,202101,57,01-01-2017,28,49,21,DE01
a9e19a53-e9d5-4820-8665-c978b575f646,202101,0,01-01-2017,0,28,28,DE02
f09e2fa7-bd0e-4064-acd8-3c9f42baf0e7,202101,0,01-01-2017,0,28,28,IN01
d660dbb9-7e5a-4241-ba72-30d18ce8edd2,202101,0,01-01-2017,0,28,28,IN02
e5e3d7b8-1891-4d3f-80de-856b80217c88,202101,0,01-01-2017,0,28,28,US01
000900bc-0dfa-b992-a4af-b4ea5bbbcf69,202101,0,01-01-2017,0,28,28,US02
9e2550e9-ab47-4807-b39b-0658917a1645,202101,114,01-01-2017,56,49,-7,DE01
b178837c-545d-4b65-9462-5ffw402464f0,202101,0,01-01-2017,0,28,28,DE02
001a3ed7-527c-8eb3-f00a-d44e98125649,202101,0,01-01-2017,0,28,28,IN01
02ffde7c-3b48-4745-8e54-107d16a28261,202101,0,01-01-2017,0,49,49,IN02
c8fa5539-337c-4565-a109-7a9e187c3e0b,202101,0,01-01-2017,0,28,28,US01
00f103d3-05c3-4fdb-9999-9d400181c533,202101,0,01-01-2017,0,28,28,US02
002a6d7b-0612-8440-78a7-fcae090863a7,202101,0,01-01-2017,0,28,28,DE01
f3f0bab0-d1fd-47df-a2c9-90782h8954d2,202101,0,01-01-2017,0,28,28,DE02
d00ffad1-56fd-4cbd-9f3a-2b93faca38a8,202101,0,01-01-2017,0,28,28,IN01
00eb655f-c131-ee44-9192-08e7c9072795,202101,0,01-01-2017,0,28,28,IN02
00b0392c-9184-da6d-8cde-c23c27d14961,202101,0,01-01-2017,0,28,28,US01
009d2aae-2682-c085-c411-0721e1dfd517,202101,0,01-01-2017,0,28,28,US02
009363ae-7b87-158a-d4ae-5b26cv3889c8,202101,0,01-01-2017,0,28,28,DE01
00554d1c-a5bb-9ffb-6e43-6f5db6d5d334,202101,0,01-01-2017,0,28,28,DE02
000bc69a-872e-7b96-ff9c-fadd9ad4b6a4,202101,0,01-01-2017,0,28,28,IN01
00953803-423e-fb89-37c0-9817dmb3ea85,202101,0,01-01-2017,0,28,28,IN02
002d4d55-bc7d-a89a-b8d8-4c02adb436d8,202101,0,01-01-2017,0,28,28,US01
0066b3aa-73f7-b607-1d37-4dbc02d12cd1,202101,0,01-01-2017,0,28,28,US02
00fb9404-75c8-e4d1-192f-30462dfd34f3,202101,0,01-01-2017,0,28,28,DE01
00e4e0ce-db27-e58c-2e75-e0e7f746053d,202101,0,01-01-2017,0,28,28,DE02
0060cb84-7e67-2e66-f6d5-f0159zd5b3b2,202101,0,01-01-2017,0,28,28,IN01
009931d9-34e0-7f3b-5b34-ad68c5a116f0,202101,0,01-01-2017,0,28,28,IN02
00bfb169-186a-31f2-39e5-5846f1bf554b,202101,0,01-01-2017,0,28,28,US01
00d67316-ff8d-10cb-a3f5-5c3fc9886bc7,202101,0,01-01-2017,0,28,28,US02
00da0e49-4078-b7cd-61f3-df211d1eb4bf,202101,0,01-01-2017,0,28,28,DE01
0077f0c5-7411-cf8f-6992-28b612d821f6,202101,0,01-01-2017,0,28,28,DE02
004808d7-9643-4f8d-8bc5-a9b49fbb0a7b,202101,0,01-01-2017,0,28,28,IN01
00004832-f2ea-ed2b-bc72-bd8ce72569e1,202101,0,01-01-2017,0,28,28,IN02
006d29c5-c815-2394-be97-7dbbfa31d4a7,202101,0,01-01-2017,0,28,28,US01
009651ff-7e75-1878-1b04-5e141xf543c0,202101,0,01-01-2017,0,28,28,US02
0001622e-2e21-0a1a-a0b6-c7f053b755d6,202101,0,01-01-2017,0,28,28,DE01
00f6e3c7-5675-7caf-1924-453778b77458,202101,0,01-01-2017,0,28,28,DE02
00ef5e35-b3d3-73f7-b607-1d37aaf55300,202101,0,01-01-2017,0,28,28,IN01
00d0a9dd-e76b-8ab9-bea6-ab34d10052f2,202101,0,01-01-2017,0,28,28,IN02
00a1d066-12b9-ea4b-a396-dfcdfaf5233e,202101,0,01-01-2017,0,28,28,US01
00cc0fab-a780-e3b8-440f-29537g6b09fa,202101,0,01-01-2017,0,28,28,US02
003d99e6-0a1a-a0b6-c7f0-1ffd8s1da47e,202101,0,01-01-2017,0,28,28,DE01
